NCB, PURL, FREE ACCESS,,,,INTERNAL ACCESS,,,
2003680,37174,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003696,37175,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003700,37176,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003712,37177,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003769,37178,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003771,37179,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003787,37180,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003789,37181,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003791,37182,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003799,37183,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003800,37184,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003806,37185,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003807,37186,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003840,37187,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003851,37188,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003868,37189,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003888,37190,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003890,37191,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003892,37192,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003896,37193,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003901,37194,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003934,37195,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003937,37196,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003944,37197,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003958,37198,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003963,37199,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003971,37200,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003986,37201,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2003994,37202,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2004000,37203,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2004014,37204,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2004026,37205,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2004050,37206,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2004056,37207,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2004868,37209,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2004928,37210,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2004962,37211,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
2004973,37212,OK,OK,OK,Free Access - Digitized,OK,OK,Free Access,Doesn't exist
